"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"216",2019,"2","1","2","S","S","4","4","4","2","S","S","4","4","4","2","3","S","1","4","4"
"217",2019,"2","1","1","2","0","S","S","S","2","S","S","3","3","4","3","1","S","2","3","4"
"218",2019,"1","1","2","S","S","2","4","4","2","S","S","2","3","4","3","1","S","1","4","4"
"219",2019,"1","1","N","N","N","S","S","S","N","N","S","S","S","S","2","1","S","2","6","1"
"220",2019,"1","1","2","S","S","2","4","4","2","S","S","2","4","4","3","1","S","2","6","5"
"221",2019,"2","1","1","1","0","S","S","S","2","S","S","2","3","4","1","4","S","2","5","5"
"222",2019,"1","1","2","S","S","3","3","3","1","0","5","S","S","S","1","4","S","4","2","5"
"223",2019,"2","1","1","3","3","S","S","S","2","S","S","3","3","3","1","1","1","2","4","4"
"224",2019,"1","1","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","3","4"
"225",2019,"1","1","2","S","S","4","N","4","2","S","S","4","4","4","2","1","S","1","2","2"
"226",2019,"2","1","2","S","S","4","4","4","2","S","S","4","4","4","3","1","S","1","2","3"
"227",2019,"1","1","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","1","3","5"
"228",2019,"2","1","2","S","S","1","3","4","2","S","S","2","3","4","1","1","S","1","3","6"
"229",2019,"2","1","2","S","S","1","3","3","2","S","S","1","3","3","2","3","S","1","3","3"
"230",2019,"1","1","2","S","S","2","3","4","2","S","S","4","3","4","2","2","S","2","3","3"
