"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet","Cigarette_Last_Usedd"
"14294","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Sometimes",NA
"14295","M","7th","No","S","S","No","No","No","No","S","S","Yes","No","No","Yes","4","S","Yes","Rarely","Never",NA
"14296","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Never",NA
"14297","F","8th","Yes","75","0","S","S","S","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"14298","F","8th","No","S","S","No","No","No","No","S","S","Yes","No","No","Not sure","Yes","S","Yes","Never","Never",NA
"14299","M","8th","Yes","15","0","S","S","S","No","S","S","No","No","No","Not sure","5","S","No","Sometimes","Sometimes",NA
"14300","N","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","4","S","Yes","Sometimes","Rarely",NA
"14301","F","8th","Yes","75","Last Year","S","S","S","No","S","S","No","No","No","Yes","Yes","Yes","Yes","Rarely","Never",NA
"14302","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Sometimes","Sometimes",NA
"14303","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","Yes","Never","Never",NA
"14304","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Most of the time","Sometimes",NA
"14305","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"14306","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Never","Never",NA
"14307","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Sometimes","Rarely",NA
"14308","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"14309","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Always","Sometimes",NA
"14310","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"14311","F","8th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","3","S","No","Sometimes","Rarely",NA
"14312","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","5","S","Yes","Never","Most of the time",NA
"14313","M","8th","Yes","1","0","S","S","S","Yes","0","5 Years Ago","S","S","S","Yes","Yes","S","Yes","Rarely","Most of the time",NA
"14314","F","8th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","No","S","Yes","Sometimes","Sometimes",NA
"14315","F","8th","No","S","S","No","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Never","Never",NA
"14316","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"14317","F","8th","No","S","S","Yes","No","Yes","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Rarely",NA
"14318","M","8th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"14319","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"14320","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Rarely","Rarely",NA
"14321","F","8th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","4","S","Yes","Most of the time","Rarely",NA
