"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"18767",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Rarely","Always"
"18768",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","","","I do not use the internet"
"18769",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","I do not use the internet","Always"
"18770",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","","Never","Never"
"18771",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Never","Rarely"
"18772",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Never","Rarely"
"18773",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","","No","1","Yes","","Rarely"
"18774",2018,"F","7th","Yes","75","Today","Yes","No","No","Yes","1","Last Year","Yes","No","No","Not Sure","No","1","Yes","Never","Sometimes"
"18775",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Never","Rarely"
"18776",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","6","Yes","Sometimes","Sometimes"
"18777",2018,"F","7th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Yes","No","1","Yes","Sometimes","Sometimes"
"18778",2018,"M","7th","Yes","35","Last 6 Months","Yes","No","Yes","Yes","2","1-4 Years Ago","No","No","Yes","","No","","","",""
